source,target,weight
R_area_32,R_caudal_medial_frontal_pole,0.7291234929861927
R_area_24a,R_area_24b,0.7903381797068443
R_area_24a',R_area_24b',0.8612597641316158
R_caudal_medial_frontal_pole,L_caudal_medial_frontal_pole,0.7287326864396917
R_rostral_gyrus_rectus,L_rostral_gyrus_rectus,0.7083462691563774
R_visual_area_V6,R_ventral_visual_area_6A,0.7310260460631444
R_area_23a,R_area_23b,0.7819317910511894
R_area_23a,R_area_29,0.7853961856146621
R_area_23a,L_area_23a,0.7096512531162957
R_area_29,R_area_30,0.771448977225801
R_area_35,R_rostral_and_polar_area_36,0.7027525028839884
R_anterior_lateral_belt_region,R_rostral_core_region,0.7133921635261673
R_rostromedial_belt_region,R_rostral_core_region,0.7286660231583222
R_medial_rostrotemporal_belt_region,R_rostrotemporal_core_region,0.7104425903947534
L_area_24a,L_area_24b,0.7076707572019447
L_ventral_intraparietal_area,L_ventral_lateral_intraparietal_area,0.7647294309943988
L_medial_superior_temporal_area,L_middle_temporal_area,0.7373458856794581
L_caudal_division_of_entorhinal_cortex,L_caudal_limiting_division_of_entorhinal_cortex,0.8124277949894119
L_area_35,L_rostral_and_polar_area_36,0.7654823405640583
L_agranular_temporal_pole,L_dorsal_dysgranular_temporal_pole,0.7536304869513267
L_dorsal_dysgranular_temporal_pole,L_dorsal_granular_temporal_pole,0.7340388616547702
L_temporal_parietooccipital_associated_area,L_area_TAa,0.7397269658640346
L_temporal_parietooccipital_associated_area,L_rostromedial_belt_region,0.7198348582938232
L_lateral_rostrotemporal_belt_region,L_rostrotemporal_core_region,0.702362278851976
L_caudomedial_belt_region,L_primary_auditory_cortex,0.7284035585784311
L_rostromedial_belt_region,L_medial_rostrotemporal_belt_region,0.7340662511256277
L_rostromedial_belt_region,L_rostral_core_region,0.7823864046643295
L_rostromedial_belt_region,L_rostrotemporal_core_region,0.7553600467119848
L_medial_rostrotemporal_belt_region,L_rostrotemporal_core_region,0.8853251505132551
L_medial_rostrotemporal_belt_region,L_parainsula,0.7774196882799163
